Sample	Unique Reads	Duplicate Reads
SRR5127647_1	10641264.0	1697217.0
SRR5127647_2	10665653.0	1672828.0
SRR5127648_1	10666908.0	1928355.0
SRR5127648_2	11246447.0	1348816.0
SRR5127649_1	17783598.0	6549489.0
SRR5127649_2	20686721.0	3646366.0
SRR5127650_1	11549975.0	3059482.0
SRR5127650_2	13320522.0	1288935.0
SRR5127651_1	11855420.0	2583411.0
SRR5127651_2	11913265.0	2525566.0
SRR5127652_1	11466757.0	2436892.0
SRR5127652_2	11400263.0	2503386.0
SRR5127653_1	12536408.0	2648648.0
SRR5127653_2	14062021.0	1123035.0
SRR5127654_1	9812333.0	1713897.0
SRR5127654_2	9796976.0	1729254.0
SRR5127655_1	13217442.0	1970073.0
SRR5127655_2	13160106.0	2027409.0
SRR5127656_1	10936334.0	1974306.0
SRR5127656_2	11933236.0	977404.0
SRR5127657_1	15369453.0	5348141.0
SRR5127657_2	15395124.0	5322470.0
SRR5127658_1	18098982.0	4967622.0
SRR5127658_2	17477438.0	5589166.0
SRR5127659_1	11282517.0	1948941.0
SRR5127659_2	12106098.0	1125360.0
SRR5127660_1	12269917.0	2157374.0
SRR5127660_2	12442807.0	1984484.0
SRR5127661_1	11466281.0	2081573.0
SRR5127661_2	11567575.0	1980279.0
SRR5127662_1	20323779.0	9441028.0
SRR5127662_2	24155307.0	5609500.0
SRR5127663_1	11435136.0	2215868.0
SRR5127663_2	11511140.0	2139864.0
SRR5127664_1	16304896.0	4413728.0
SRR5127664_2	16503661.0	4214963.0
SRR5127665_1	10540303.0	4325115.0
SRR5127665_2	10669582.0	4195836.0
SRR5127666_1	21797314.0	9581153.0
SRR5127666_2	27159066.0	4219401.0
SRR5127667_1	11476725.0	1985137.0
SRR5127667_2	11527983.0	1933879.0
SRR5127668_1	9794316.0	1681565.0
SRR5127668_2	9906710.0	1569171.0
SRR5127669_1	10462345.0	2080618.0
SRR5127669_2	11541202.0	1001761.0
SRR5127670_1	14613861.0	3845023.0
SRR5127670_2	14733805.0	3725079.0
SRR5127671_1	11784824.0	2301475.0
SRR5127671_2	11730914.0	2355385.0
SRR5127672_1	13872463.0	3606497.0
SRR5127672_2	14051283.0	3427677.0
SRR5127673_1	9595079.0	1276043.0
SRR5127673_2	9414054.0	1457068.0
SRR5127674_1	13794263.0	4123276.0
SRR5127674_2	15232477.0	2685062.0
SRR5127675_1	13491800.0	3965224.0
SRR5127675_2	13594221.0	3862803.0
SRR5127676_1	13220707.0	3677557.0
SRR5127676_2	13446766.0	3451498.0
SRR5127677_1	7520950.0	1068789.0
SRR5127677_2	7507557.0	1082182.0
SRR5127678_1	13656148.0	2984896.0
SRR5127678_2	13748513.0	2892531.0
SRR5127679_1	11420645.0	2297131.0
SRR5127679_2	12793744.0	924032.0
SRR5127680_1	9956041.0	3903922.0
SRR5127680_2	10088614.0	3771349.0
SRR5127681_1	13491662.0	2829695.0
SRR5127681_2	15081325.0	1240032.0
SRR5127682_1	11498558.0	1906215.0
SRR5127682_2	11490421.0	1914352.0
SRR5127683_1	12683019.0	3381965.0
SRR5127683_2	12798116.0	3266868.0
SRR5127684_1	12963031.0	4793109.0
SRR5127684_2	13135783.0	4620357.0
SRR5127685_1	12515420.0	2351496.0
SRR5127685_2	12509791.0	2357125.0
SRR5127686_1	13047852.0	3872861.0
SRR5127686_2	13223480.0	3697233.0
SRR5127687_1	10971284.0	1967486.0
SRR5127687_2	10952402.0	1986368.0
SRR5127688_1	9755603.0	1610558.0
SRR5127688_2	9736336.0	1629825.0
SRR5127689_1	13578881.0	4007018.0
SRR5127689_2	13528614.0	4057285.0
SRR5127690_1	10146349.0	2138914.0
SRR5127690_2	10882701.0	1402562.0
SRR5127691_1	14144898.0	4021731.0
SRR5127691_2	14469314.0	3697315.0
SRR5127692_1	13862906.0	2681672.0
SRR5127692_2	13860965.0	2683613.0
SRR5127693_1	12253721.0	3116340.0
SRR5127693_2	13403935.0	1966126.0
SRR5127694_1	11982225.0	2480119.0
SRR5127694_2	12077640.0	2384704.0
SRR5127695_1	15154580.0	6309529.0
SRR5127695_2	15404931.0	6059178.0
SRR5127696_1	11197269.0	1874887.0
SRR5127696_2	11243200.0	1828956.0
SRR5127697_1	10552363.0	1745118.0
SRR5127697_2	11225661.0	1071820.0
SRR5127698_1	10045407.0	2575012.0
SRR5127698_2	10010143.0	2610276.0
SRR5127699_1	11192886.0	1971851.0
SRR5127699_2	12372673.0	792064.0
SRR5127700_1	9607989.0	2138942.0
SRR5127700_2	10695823.0	1051108.0
SRR5127701_1	12232267.0	2752691.0
SRR5127701_2	13378160.0	1606798.0
SRR5127702_1	17222240.0	3747327.0
SRR5127702_2	17488791.0	3480776.0
SRR5127703_1	12749180.0	3405918.0
SRR5127703_2	12859704.0	3295394.0
SRR5127704_1	8912432.0	1220523.0
SRR5127704_2	8920490.0	1212465.0
SRR5127705_1	12528708.0	3138207.0
SRR5127705_2	12412661.0	3254254.0
SRR5127706_1	11668482.0	2093582.0
SRR5127706_2	12936850.0	825214.0
SRR5127707_1	11789830.0	3461857.0
SRR5127707_2	11858848.0	3392839.0
SRR5127708_1	11929209.0	2495539.0
SRR5127708_2	11982467.0	2442281.0
SRR5127709_1	9593190.0	1628141.0
SRR5127709_2	9625898.0	1595433.0
SRR5127710_1	8547825.0	1107626.0
SRR5127710_2	8954302.0	701149.0
SRR5127711_1	10155821.0	1659258.0
SRR5127711_2	10786736.0	1028343.0
SRR5127712_1	8689428.0	1332208.0
SRR5127712_2	8739901.0	1281735.0
SRR5127713_1	12417366.0	4816469.0
SRR5127713_2	15159145.0	2074690.0
SRR5127714_1	9455831.0	1392484.0
SRR5127714_2	10120012.0	728303.0
SRR5127715_1	9204167.0	1426178.0
SRR5127715_2	9218367.0	1411978.0
SRR5127716_1	13024006.0	2928380.0
SRR5127716_2	14317110.0	1635276.0
SRR5127717_1	10616422.0	2429391.0
SRR5127717_2	10699733.0	2346080.0
SRR5127718_1	18443486.0	4765641.0
SRR5127718_2	20668056.0	2541071.0
SRR5127719_1	9833409.0	1735397.0
SRR5127719_2	9835603.0	1733203.0
SRR5127720_1	10374988.0	2139973.0
SRR5127720_2	10422879.0	2092082.0
SRR5127721_1	19503460.0	6698855.0
SRR5127721_2	19646501.0	6555814.0
SRR5127722_1	12411550.0	1683849.0
SRR5127722_2	12444323.0	1651076.0
SRR5127723_1	11483744.0	2003173.0
SRR5127723_2	11442972.0	2043945.0
